塩竈市,"['', '青葉ケ丘', '赤坂', '旭町', '旭町', '旭町', '芦畔町', '石田', '石堂', '泉ケ岡', '泉沢町', '一森山', '一森山', '伊保石', '今宮町', '梅の宮', '浦戸石浜', '浦戸桂島', '浦戸寒風沢', '浦戸野々島', '浦戸朴島', '大日向町', '尾島町', '海岸通', '楓町', '庚塚', '北浜', '北浜', '牛生町', '香津町', '後楽町', '越ノ浦', '小松崎', '権現堂', '佐浦町', '栄町', '桜ケ丘', '清水沢', '松陽台', '白菊町', '白萩町', '新富町', '新浜町', '新浜町', '新浜町', '杉の入', '杉の入裏', '袖野田町', '玉川', '千賀の台', '月見ケ丘', '貞山通', '貞山通', '貞山通', '長沢', '長沢町', '中の島', '錦町', '錦町', '西玉川町', '西町', '野田', '花立町', '母子沢町', '東玉川町', '藤倉', '舟入', '港町', '港町', '港町', '南錦町', '南町', 'みのが丘', '宮町', '向ケ丘', '本町']"
気仙沼市,"['', '赤岩石兜', '赤岩老松', '赤岩大石倉', '赤岩大滝', '赤岩小田', '赤岩上羽田', '赤岩五駄鱈', '赤岩四十二', '赤岩杉ノ沢', '赤岩高前田', '赤岩舘下', '赤岩舘森', '赤岩泥ノ木', '赤岩長柴', '赤岩羽田', '赤岩平貝', '赤岩前田', '赤岩牧沢', '赤岩水梨子', '赤岩港', '赤岩迎前田', '赤岩物見', '赤坂', '明戸', '浅根', '朝日町', '阿霄月', '新町', '磯草', '磯沢', '一景島', '入沢', '岩ケ崎', '岩月千岩田', '岩月台ノ沢', '岩月宝ケ沢', '岩月寺沢', '岩月長平', '岩月箒沢', '岩月星谷', '魚市場前', '魚市場前', '魚浜町', '後九条', '内松川', '浦の浜', '大岩井山', '大浦', '太田', '大峠山', '大初平', '大林', '大向', '落合', '角地', '柏崎', '鹿ノ倉', '上田中', '上西側', '上東側', '上東側根', '神山', '亀山', '唐桑町明戸', '唐桑町荒谷前', '唐桑町石浜', '唐桑町岩井沢', '唐桑町浦', '唐桑町大畑', '唐桑町欠浜', '唐桑町釜石下', '唐桑町上川原', '唐桑町上小鯖', '唐桑町上鮪立', '唐桑町神の倉', '唐桑町北中', '唐桑町小鯖', '唐桑町小田', '唐桑町小長根', '唐桑町境', '唐桑町崎浜', '唐桑町鮪立', '唐桑町宿浦', '唐桑町台の下', '唐桑町高石浜', '唐桑町竹の袖', '唐桑町唯越', '唐桑町只越', '唐桑町舘', '唐桑町津本', '唐桑町出山', '唐桑町堂角', '唐桑町中', '唐桑町中井', '唐桑町西舞根', '唐桑町西舞根', '唐桑町載鈎', '唐桑町馬場', '唐桑町東舞根', '唐桑町松圃', '唐桑町港', '川上', '川口町', '川崎尻', '川畑', '川原崎', '河原田', '金成沢', '切通', '九条', '久保', '蔵底', '黒石山', '黒沢', '化粧坂', '小芦', '小々汐', '瘻槻', '駒形', '駒場', '最知荒沢', '最知川原', '最知北最知', '最知南最知', '最知森合', '幸町', '栄町', '魚町', '笹が陣', '沢田', '三ノ浜', '潮見町', '四反田', '下新田', '下八瀬', '常楽', '白石', '新関根', '新台', '新田', '新浜町', '陣山', '新早稲谷', '関根', '象ケ鼻', '外畑', '外浜', '反松', '台', '高井', '高判形山', '滝の入', '田尻', '田尻沢', '舘山', '田中', '田中沖', '田中前', '田谷', '田谷前', '塚沢', '百目木', '所沢', '内ノ脇', '長磯赤貝', '長磯後沢', '長磯大窪', '長磯七半沢', '長磯下原', '長磯鳥子沢', '長磯中原', '長磯二本松', '長磯浜', '長磯原', '長磯原ノ沢', '長磯船原', '長磯前林', '長磯牧通', '長磯森', '長岩間', '長崎', '仲町', '中みなと町', '中山', '名木沢', '浪板', '南郷', '錦町', '西中才', '西八幡町', '西八幡前', '西みなと町', '二ノ浜', '波路上明戸', '波路上岩井崎', '波路上後原', '波路上内田', '波路上内沼', '波路上崎野', '波路上杉ノ下', '波路上瀬向', '波路上野田', '波路上原', '波路上牧', '波路上向田', '波路上向原', '浜町', '浜見山', '東新城', '東中才', '東八幡前', '東みなと町', '日ノ口', '福美町', '古町', '弁天町', '細尾', '本郷', '前木', '松川', '松川前', '松崎浦田', '松崎大萱', '松崎尾崎', '松崎面瀬', '松崎片浜', '松崎上赤田', '松崎上金取', '松崎萱', '松崎北沢', '松崎五駄鱈', '松崎地生', '松崎下赤田', '松崎下金取', '松崎外ケ沢', '松崎高谷', '松崎立石', '松崎鶴巻', '松崎中瀬', '松崎猫渕', '松崎馬場', '松崎前浜', '松崎丸森', '松崎柳沢', '廻舘', '三作浜', '三日町', '港町', '南が丘', '南町', '南町海岸', '茗荷沢', '本浜町', '本町', '本吉町赤牛', '本吉町天ヶ沢', '本吉町石川原', '本吉町泉', '本吉町泉沢', '本吉町猪の鼻', '本吉町猪の鼻', '本吉町後田', '本吉町歌生', '本吉町卯名沢', '本吉町漆原', '本吉町狼の巣', '本吉町大椚', '本吉町大沢', '本吉町大柴', '本吉町大東', '本吉町大朴木', '本吉町大森', '本吉町大谷', '本吉町沖の田', '本吉町尾田', '本吉町風越', '本吉町鹿の子', '本吉町上川内', '本吉町狩猟', '本吉町北明戸', '本吉町九多丸', '本吉町窪', '本吉町蔵内', '本吉町今朝磯', '本吉町幸土', '本吉町午王野沢', '本吉町小金沢', '本吉町小金山', '本吉町小浜', '本吉町小峰崎', '本吉町猿内', '本吉町直伝', '本吉町信夫', '本吉町下川内', '本吉町下宿', '本吉町下要害', '本吉町菖蒲沢', '本吉町新北明戸', '本吉町新圃の沢', '本吉町新南明戸', '本吉町菅の沢', '本吉町外尾', '本吉町平椚', '本吉町高', '本吉町高岡', '本吉町高瀬ヶ森', '本吉町滝沢', '本吉町滝根', '本吉町岳の下', '本吉町舘下', '本吉町田の沢', '本吉町土樋下', '本吉町角柄', '本吉町津谷明戸', '本吉町津谷桜子', '本吉町津谷新明戸', '本吉町津谷舘岡', '本吉町津谷舘岡', '本吉町津谷長根', '本吉町津谷松尾', '本吉町津谷松岡', '本吉町寺谷', '本吉町寺沢', '本吉町寺要害', '本吉町道貫', '本吉町登米沢', '本吉町中川内', '本吉町長窪', '本吉町中沢', '本吉町中島', '本吉町中平', '本吉町長根', '本吉町長畑', '本吉町西川内', '本吉町二十一浜', '本吉町幣掛', '本吉町野々下', '本吉町圃の沢', '本吉町林の沢', '本吉町東川内', '本吉町日門', '本吉町平貝', '本吉町深萩', '本吉町府中', '本吉町坊の倉', '本吉町洞沢', '本吉町前浜', '本吉町馬籠町', '本吉町馬籠町頭', '本吉町松ヶ沢', '本吉町三島', '本吉町道外', '本吉町南明戸', '本吉町宮内', '本吉町向畑', '本吉町谷地', '本吉町柳沢', '本吉町山谷', '本吉町上野', '本吉町蕨野', '物倉山', '柳沢', '要害', '八日町', '八日町', '八日町', '横沼', '芳ノ口', '早稲谷', '渡戸', '和野']"
白石市,"['', '旭町', '旭町', '兎作', '延命寺北', '大川町', '大平坂谷', '大平中目', '大平森合', '大鷹沢大町', '大鷹沢鷹巣', '大鷹沢三沢', '大手町', '大手町', '大畑', '小原', '上久保', '上堰', '北川原', '北無双作', '郡山', '小下倉', '越河', '越河五賀', '越河平', '寿山', '斎川', '幸', '沢端', '沢端町', '沢端町', '沢目', '清水小路', '十王堂北', '十王堂前', '城南', '城北町', '白川犬卒都婆', '白川内親', '白川小奥', '白川津田', '白鳥', '白石沖', '新館町', '不澄ケ池', '外川原', '鷹巣', '鷹巣西', '鷹巣東', '田町', '銚子ケ森', '寺屋敷前', '堂場前', '中町', '長町', '西益岡町', '祢宜内', '八幡町', '半沢屋敷西', '半沢屋敷前', '東大畑', '東小路', '東町', '福岡蔵本', '福岡長袋', '福岡長袋', '福岡長袋', '福岡深谷', '福岡深谷', '福岡深谷', '福岡八宮', '益岡町', '松ケ丘', '緑が丘', '南町', '本鍛冶小路', '本町', '柳川原', '柳町', '亘理町']"
名取市,"['', '愛の杜', '飯野坂', '植松', '牛野', '大手町', '大曲', '小山', '上余田', '小塚原', '下増田', '下増田', '下増田', '下余田', '下余田', '杉ケ袋', '相互台', '相互台東', '高舘川上', '高舘熊野堂', '高舘吉田', '高柳', '田高', '手倉田', '那智が丘', '名取が丘', '箱塚', '堀内', '本郷', '増田', '増田', '美田園', '美田園北', 'みどり台', '愛島小豆島', '愛島笠島', '愛島北目', '愛島塩手', '愛島塩手', '愛島台', '愛島郷', '杜せきのした', '杜せきのした', '閖上', '閖上中央', '閖上西', '閖上東', 'ゆりが丘', 'ゆりが丘']"
角田市,"['', '稲置', '江尻', '枝野', '岡', '小坂', '小坂', '小田', '尾山', '角田', '角田', '角田', '角田', '笠島', '梶賀', '梶賀', '君萱', '毛萱', '坂津田', '佐倉', '佐倉', '佐倉', '島田', '神次郎', '高倉', '豊室', '鳩原', '花島', '平貫', '藤田', '横倉']"
多賀城市,"['', '市川', '浮島', '大代', '笠神', '下馬', '栄', '桜木', '桜木', '桜木', '山王', '城南', '高崎', '高橋', '中央', '中央', '中央', '鶴ケ谷', '伝上山', '留ケ谷', '中野', '南宮', '新田', '東田中', '町前', '丸山', '丸山', '宮内', '宮内', '宮内', '宮内', '明月', '明月', '明月', '八幡']"
岩沼市,"['', '相の原', '相の原', '朝日', 'あさひ野', '阿武隈', '荒井', '稲荷町', '大手町', '小川', '押分', '梶橋', '北長谷', '空港西', '空港南', '桑原', '桑原西', '栄町', '桜', '桜', '里の杜', '里の杜', '里の杜', '志賀', '敷島', '下野郷', '下野郷', '末広', '大昭和', '大昭和', 'たけくま', '武隈', '竹の里', '館下', '玉浦西', '中央', '寺島', '土ケ崎', '長岡', '西六角', '早股', '東谷地', '平等', '吹上', '吹上', '吹上西', '藤浪', '二木', '本町', '松ケ丘', '三色吉', '南長谷', '恵み野', '山桜', '大和']"
登米市,"['', '', '石越町北郷', '石越町東郷', '石越町南郷', '津山町柳津', '津山町横山', '東和町錦織', '東和町米谷', '東和町米川', '豊里町後沢田', '豊里町内一番江', '豊里町内田', '豊里町内畑', '豊里町内町浦', '豊里町浦軒', '豊里町上沼田', '豊里町笑沢', '豊里町大椚', '豊里町大沢', '豊里町大沢沼田', '豊里町大沢谷岐', '豊里町大曲', '豊里町加々巻', '豊里町鏡形', '豊里町蕪木', '豊里町上町裏', '豊里町上屋浦', '豊里町上谷地', '豊里町唐崎', '豊里町川前', '豊里町切津', '豊里町久寿田', '豊里町久寿田前', '豊里町剣先', '豊里町小口前', '豊里町五反田', '豊里町小巻', '豊里町小谷地', '豊里町境沢', '豊里町佐野', '豊里町沢尻', '豊里町十丁田', '豊里町芝下', '豊里町下九', '豊里町下古屋', '豊里町下沼田', '豊里町下屋浦', '豊里町十五貫', '豊里町十五貫谷地', '豊里町十二沢', '豊里町昭和', '豊里町白鳥山', '豊里町白鳥', '豊里町白鳥前', '豊里町新加々巻', '豊里町新田鏡形', '豊里町新田町', '豊里町新長前', '豊里町新細沼', '豊里町新町', '豊里町寿崎', '豊里町外一番江', '豊里町外五番江', '豊里町外三番江', '豊里町外七番江', '豊里町外二番江', '豊里町外八番江', '豊里町外四番江', '豊里町外六番江', '豊里町竹ノ沢', '豊里町土手下', '豊里町鳥越', '豊里町中沼田', '豊里町長根浦', '豊里町長前', '豊里町中谷岐', '豊里町七ツ塚', '豊里町西前田', '豊里町沼田', '豊里町迫', '豊里町八反', '豊里町東二ツ屋', '豊里町東待井下', '豊里町平林', '豊里町福沢', '豊里町二ツ屋', '豊里町細沼', '豊里町細沼田', '豊里町保手', '豊里町本地土手下', '豊里町本地八反', '豊里町前田', '豊里町町浦', '豊里町南切津', '豊里町南町浦', '豊里町杢沢', '豊里町山根', '豊里町山根前', '豊里町横町', '登米町小島', '登米町寺池', '登米町寺池', '登米町寺池', '登米町日根牛', '登米町日野渡', '中田町浅水', '中田町石森', '中田町上沼', '中田町宝江黒沼', '中田町宝江新井田', '中田町宝江森', '迫町北方', '迫町佐沼', '迫町佐沼', '迫町佐沼', '迫町新田', '迫町新田', '迫町森', '南方町青笹', '南方町青島前', '南方町青島待井', '南方町青島屋敷', '南方町上ケ戸', '南方町尼池', '南方町天沼', '南方町雷', '南方町板ケ沢', '南方町板倉', '南方町板倉後', '南方町一網', '南方町一ノ曲', '南方町後高石', '南方町後屋敷待井', '南方町内ノ目', '南方町内鰐丸', '南方町狼掛', '南方町大上', '南方町大坂前', '南方町大埣', '南方町太田', '南方町大平', '南方町大平前', '南方町大嶽', '南方町大嶽前', '南方町大嶽山', '南方町王塚', '南方町大西', '南方町大畑', '南方町大畠前', '南方町大袋', '南方町大袋浦', '南方町大村', '南方町大村前', '南方町大森前', '南方町大涌戸', '南方町表前', '南方町風張', '南方町梶沼', '南方町梶沼川前', '南方町梶沼前', '南方町上窪田', '南方町上砥落', '南方町上原', '南方町上平貝', '南方町烏田', '南方町河面', '南方町川前', '南方町樟', '南方町樟土手外', '南方町窪田', '南方町鴻ノ木', '南方町苔野谷地', '南方町小山', '南方町沢田', '南方町沢田前', '南方町沢田待井', '南方町沢田屋敷', '南方町三代前', '南方町仕込', '南方町下新山', '南方町下砥落', '南方町下原前', '南方町下平貝', '南方町十二山', '南方町宿畑', '南方町新青島前', '南方町新一ノ曲', '南方町新大畑前', '南方町新上砥落', '南方町新沢田', '南方町新島前', '南方町新高石浦', '南方町新高石前', '南方町新田', '南方町新砥落', '南方町新長根下', '南方町新中山', '南方町新野谷地', '南方町新畑岡下', '南方町新鳩峯', '南方町新丸ノ内', '南方町新山成浦', '南方町瀬川', '南方町銭金壇', '南方町瀬ノ淵', '南方町ぜん荷前', '南方町ぜん荷山', '南方町外浦', '南方町大門', '南方町高石', '南方町高石浦', '南方町館', '南方町館浦', '南方町田中浦', '南方町茶臼森', '南方町茶臼森前', '南方町長者原', '南方町堤田', '南方町角欠前', '南方町鶴江', '南方町鶴代', '南方町寺袋', '南方町照井', '南方町堂地', '南方町堂地前', '南方町砥落', '南方町戸根屋敷', '南方町中須崎', '南方町中高石', '南方町中高石浦', '南方町長根', '南方町長根下', '南方町中ノ口', '南方町中原', '南方町中山', '南方町成田', '南方町新井宿', '南方町西山成', '南方町西山成前', '南方町沼崎', '南方町沼崎前', '南方町沼向', '南方町野谷地', '南方町畑岡', '南方町畑岡下', '南方町八の森', '南方町原', '南方町原浦', '南方町原前', '南方町原屋敷', '南方町東川前', '南方町平貝', '南方町二ツ橋', '南方町蛇沼', '南方町細川', '南方町細川浦', '南方町細川前', '南方町堀切', '南方町本郷大嶽', '南方町間内', '南方町間内前', '南方町真ケ沼', '南方町待井', '南方町松島屋敷', '南方町松葉', '南方町松葉表', '南方町松葉前', '南方町実沢', '南方町南大畑前', '南方町南沢', '南方町南細川', '南方町峯', '南方町峯前', '南方町室田', '南方町薬師島屋敷', '南方町柳沢', '南方町柳沢前', '南方町山崎', '南方町山成', '南方町山成浦', '南方町山成前', '南方町翌沢', '南方町横代', '南方町横前', '南方町米袋', '南方町米袋浦', '南方町米袋前', '南方町若狭前', '南方町鰐丸', '米山町愛宕下', '米山町愛宕前', '米山町犬子松', '米山町内', '米山町川前', '米山町小待井', '米山町小待井下', '米山町桜岡', '米山町猿ケ崎', '米山町地蔵川', '米山町水門', '米山町善王寺', '米山町舘下', '米山町舘前', '米山町田畑西', '米山町田畑前', '米山町土佐ケ渕', '米山町中津山', '米山町中道東', '米山町中道前', '米山町西野', '米山町沼田', '米山町八反', '米山町待井下', '米山町櫓場', '米山町櫓場下']"
栗原市,"['', '一迫青木', '一迫荒町', '一迫荒屋敷', '一迫一本杉', '一迫岩ケ沢', '一迫宇南田', '一迫大川口', '一迫大栗', '一迫大清水', '一迫大平沢', '一迫岡田', '一迫沖', '一迫沖浦', '一迫鍛冶屋敷', '一迫片子沢', '一迫上大土', '一迫上久保', '一迫上中島', '一迫川口', '一迫川台', '一迫北沢', '一迫狐崎', '一迫久保田', '一迫間杭元', '一迫小坂本', '一迫坂下西', '一迫佐野', '一迫佐野原', '一迫沢田', '一迫鹿込', '一迫嶋躰', '一迫清水原', '一迫下大土', '一迫下小僧', '一迫神山', '一迫新米', '一迫清水目', '一迫大際', '一迫高田', '一迫高橋', '一迫土川', '一迫天神', '一迫中小僧', '一迫中屋敷浦', '一迫西風', '一迫沼田', '一迫萩生', '一迫日向', '一迫平館', '一迫不動西', '一迫細越', '一迫真坂', '一迫真坂', '一迫松の木', '一迫松原沢', '一迫御崎', '一迫三嶋', '一迫宮下', '一迫宮前', '一迫女子町', '一迫屋敷田', '一迫柳目', '一迫山崎', '一迫山沢', '一迫要害', '一迫横町', '一迫横町浦', '一迫論田', '鶯沢北郷', '鶯沢南郷', '鶯沢南郷', '鶯沢袋', '金成赤児', '金成姉歯', '金成有壁', '金成稲荷前', '金成入生田', '金成入ノ沢', '金成祝', '金成宇南崎', '金成狼ノ沢', '金成大久保沢', '金成大梨', '金成大原木', '金成大平', '金成翁沢', '金成翁留', '金成小堤', '金成小迫', '金成片馬合', '金成金山沢', '金成上富田', '金成髪長', '金成上町', '金成上町西裏', '金成上町東裏', '金成金生', '金成熊ノ下', '金成黄金田', '金成桜町', '金成沢辺', '金成清水田', '金成下富田', '金成新町', '金成新町裏', '金成末野', '金成台畑', '金成大林寺沢', '金成館下', '金成津久毛', '金成鍔ノ瓦', '金成長館', '金成長根沢', '金成長根前', '金成中町', '金成中町西裏', '金成梨崎', '金成柧木沢', '金成日向', '金成日向田', '金成普賢堂', '金成藤渡戸', '金成平治屋敷', '金成奉公田', '金成干谷沢', '金成三沢', '金成宮前', '金成山中堤下', '金成四ツ屋敷', '栗駒泉沢', '栗駒稲屋敷', '栗駒芋埣', '栗駒岩ケ崎', '栗駒岩ケ崎', '栗駒片子沢', '栗駒栗原', '栗駒桜田', '栗駒猿飛来', '栗駒里谷', '栗駒鳥沢', '栗駒中野', '栗駒沼倉', '栗駒菱沼', '栗駒深谷', '栗駒松倉', '栗駒嶺崎', '栗駒文字', '栗駒八幡', '栗駒渡丸', '志波姫荒町北', '志波姫荒町南', '志波姫伊豆野', '志波姫刈敷', '志波姫北郷', '志波姫北堀口', '志波姫蔵場南', '志波姫下里', '志波姫城内南', '志波姫新上戸', '志波姫新熊谷', '志波姫新沼崎', '志波姫新橋本', '志波姫新原', '志波姫新八樟', '志波姫大門南', '志波姫中沖', '志波姫沼崎', '志波姫沼崎', '志波姫花崎西', '志波姫堀口', '志波姫堀口', '志波姫南郷', '志波姫南堀口', '志波姫南八樟', '志波姫八樟', '志波姫要害東', '志波姫横峰浦', '瀬峰愛宕', '瀬峰荒町', '瀬峰泉谷', '瀬峰泉谷南', '瀬峰伊勢堂', '瀬峰牛渕', '瀬峰牛渕前', '瀬峰大境前', '瀬峰大境山', '瀬峰大屋敷', '瀬峰大鰐谷', '瀬峰蒲盛', '瀬峰上沢田', '瀬峰神田', '瀬峰上富前', '瀬峰上屋敷', '瀬峰刈安沢', '瀬峰川ノ畑', '瀬峰北ノ沢', '瀬峰北谷地', '瀬峰薬沢西', '瀬峰薬沢東', '瀬峰荒神堂', '瀬峰高土山', '瀬峰小深沢', '瀬峰坂ノ下浦', '瀬峰坂ノ下前北', '瀬峰三代', '瀬峰柴ノ脇', '瀬峰清水沢', '瀬峰清水山', '瀬峰下田', '瀬峰下の前', '瀬峰下藤沢', '瀬峰下藤沢', '瀬峰下谷地', '瀬峰十王堂前', '瀬峰新下藤沢', '瀬峰新下田', '瀬峰新道東', '瀬峰諏訪原', '瀬峰蔵王', '瀬峰壇ノ越', '瀬峰力石', '瀬峰長者原', '瀬峰寺浦', '瀬峰寺沢', '瀬峰天神下', '瀬峰筒ケ崎', '瀬峰筒場', '瀬峰富要害', '瀬峰長根', '瀬峰新井堀', '瀬峰新井屋敷', '瀬峰西原', '瀬峰西原前', '瀬峰新田沢', '瀬峰根岸', '瀬峰野沢', '瀬峰除', '瀬峰橋本浦', '瀬峰原田', '瀬峰樋口山', '瀬峰樋渡', '瀬峰袋沢', '瀬峰藤沢瀬嶺', '瀬峰藤沢要害', '瀬峰藤田', '瀬峰二ツ谷', '瀬峰二又', '瀬峰船橋', '瀬峰町田', '瀬峰町田前', '瀬峰宮小路原西', '瀬峰宮小路原東', '瀬峰宮田', '瀬峰桃生田', '瀬峰桃生田前', '瀬峰薬師堂前', '瀬峰谷地田', '瀬峰山崎前', '瀬峰横森前', '瀬峰四ツ壇', '高清水浅野', '高清水浅野前', '高清水新町', '高清水石沢', '高清水石沢浦', '高清水一本松', '高清水浦南沢', '高清水大沢', '高清水大西', '高清水沖', '高清水乙牧堀', '高清水小山下', '高清水小山田', '高清水折木', '高清水覚満寺', '高清水影の沢', '高清水欠屋敷', '高清水桂葉', '高清水蟹沢尻', '高清水上折木', '高清水上桂葉', '高清水上佐野', '高清水上外沢田', '高清水上萩田', '高清水萱刈', '高清水観音沢', '高清水観音堂', '高清水神原', '高清水北甚六原', '高清水北原', '高清水京の沢', '高清水熊野', '高清水熊野堂', '高清水甲牧堀', '高清水五輪', '高清水桜丁', '高清水五月田', '高清水佐野沢田', '高清水佐野丁', '高清水下町', '高清水下折木', '高清水下佐野', '高清水十二の神', '高清水宿の沢', '高清水勝負ケ町', '高清水新桂葉', '高清水新佐野', '高清水新神明', '高清水新田', '高清水新中の茎', '高清水神明', '高清水千神', '高清水善光寺', '高清水袖山', '高清水外沢田', '高清水太子堂', '高清水大寺', '高清水台町', '高清水長福寺', '高清水堤下', '高清水丁神明', '高清水丁牧堀', '高清水手取', '高清水天王沢', '高清水中里', '高清水中佐野', '高清水中の茎', '高清水中の沢', '高清水中町', '高清水西善光寺', '高清水西手取', '高清水西中里', '高清水忽滑沢', '高清水原', '高清水東浦', '高清水東善光寺', '高清水東館', '高清水日向', '高清水福塚', '高清水渕際', '高清水丙牧堀', '高清水松の木沢田', '高清水松原', '高清水水の手', '高清水南沢', '高清水南原', '高清水三森', '高清水宮脇', '高清水明官', '高清水向野', '高清水仰ケ返り', '高清水本町', '高清水本道', '高清水茂路具多', '高清水八重壁', '高清水要の森', '高清水横手', '高清水来光沢', '高清水来光沢', '高清水若宮', '築館青野', '築館赤坂', '築館荒田沢', '築館伊豆', '築館伊豆', '築館芋埣', '築館内沢', '築館内南沢', '築館太田', '築館蟹沢', '築館上高森', '築館上宮野', '築館唐竹林', '築館川添', '築館木戸', '築館久伝', '築館黒瀬', '築館源光', '築館左足', '築館小淵西', '築館小淵東', '築館境田', '築館佐野原', '築館沢入', '築館下高森', '築館下待井', '築館下宮野', '築館城生野', '築館新田', '築館新成田西', '築館新八ツ沢', '築館外南沢', '築館高田', '築館館沢', '築館館下', '築館築館', '築館照越', '築館富', '築館留場', '築館成田', '築館西小山', '築館萩沢', '築館萩沢東', '築館萩沢南', '築館光屋敷', '築館藤木', '築館三峰', '築館宮野中央', '築館薬師', '築館薬師', '築館薬師ケ丘', '築館薬師台', '築館八沢', '築館横須賀', '花山草木沢', '花山草木沢上原', '花山本沢', '花山本沢', '花山本沢', '若柳有賀', '若柳大林', '若柳大林新寺浦', '若柳上畑岡', '若柳川北', '若柳川南', '若柳川南', '若柳下畑岡', '若柳福岡', '若柳武鎗']"
東松島市,"['', 'あおい', '赤井', '浅井', '牛網', '大塩', '大塚', '大曲', '小野', '川下', '小松', '上下堤', '新東名', '高松', '西福田', '新田', '根古', '野蒜', '野蒜ケ丘', '浜市', 'みそら', '宮戸', '宮戸', '矢本']"
