,北海道,"青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県",愛知県,"三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
10,網走市,"平内町","二戸市","栗原市","北秋田市","東根市","南相馬市","高萩市","那須塩原市","安中市","東松山市","佐倉市","大田区","三浦市","燕市","舟橋村","野々市市","池田町","上野原市","中野市","美濃加茂市","焼津市",刈谷市,"熊野市","高島市","八幡市","枚方市","加古川市","葛城市","かつらぎ町","琴浦町","川本町","瀬戸内市","東広島市","美祢市","佐那河内村","三木町","東温市","香美市","大川市","吉野ヶ里町","西海市","宇城市","宇佐市","高原町","曽於市","南城市"
11,留萌市,"今別町","八幡平市","東松島市","にかほ市","尾花沢市","伊達市","北茨城市","さくら市","みどり市","春日部市","東金市","世田谷区","秦野市","糸魚川市","上市町","川北町","南越前町","甲州市","大町市","土岐市","掛川市",豊田市,"いなべ市","東近江市","京田辺市","茨木市","赤穂市","宇陀市","九度山町","北栄町","美郷町","赤磐市","廿日市市","周南市","石井町","直島町","上島町","東洋町","行橋市","基山町","雲仙市","阿蘇市","豊後大野市","国富町","霧島市","国頭村"
12,苫小牧市,"蓬田村","奥州市","大崎市","仙北市","南陽市","本宮市","笠間市","那須烏山市","榛東村","狭山市","旭市","渋谷区","厚木市","妙高市","立山町","津幡町","越前町","中央市","飯山市","各務原市","藤枝市",安城市,"志摩市","米原市","京丹後市","八尾市","西脇市","山添村","高野町","日吉津村","邑南町","真庭市","安芸高田市","山陽小野田市","神山町","宇多津町","久万高原町","奈半利町","豊前市","上峰町","南島原市","天草市","由布市","綾町","いちき串木野市","大宜味村"
13,稚内市,"外ヶ浜町","滝沢市","富谷市","小坂町","山辺町","桑折町","取手市","下野市","吉岡町","羽生市","習志野市","中野区","大和市","五泉市","入善町","内灘町","美浜町","市川三郷町","茅野市","可児市","御殿場市",西尾市,"伊賀市","日野町","南丹市","泉佐野市","宝塚市","平群町","湯浅町","大山町","津和野町","美作市","江田島市","周防大島町","那賀町","綾川町","松前町","田野町","中間市","みやき町","長与町","合志市","国東市","高鍋町","南さつま市","東村"
14,美唄市,"鰺ヶ沢町","雫石町","蔵王町","上小阿仁村","中山町","国見町","牛久市","上三川町","上野村","鴻巣市","柏市","杉並区","伊勢原市","上越市","朝日町","志賀町","高浜町","早川町","塩尻市","山県市","袋井市",蒲郡市,"木曽岬町","竜王町","木津川市","富田林市","三木市","三郷町","広川町","南部町","吉賀町","浅口市","府中町","和木町","牟岐町","琴平町","砥部町","安田町","小郡市","玄海町","時津町","美里町","姫島村","新富町","志布志市","今帰仁村"
15,芦別市,"深浦町","葛巻町","七ヶ宿町","藤里町","河北町","川俣町","つくば市","益子町","神流町","深谷市","勝浦市","豊島区","海老名市","阿賀野市",,"宝達志水町","おおい町","身延町","佐久市","瑞穂市","下田市",犬山市,"東員町","愛荘町","大山崎町","寝屋川市","高砂市","斑鳩町","有田川町","伯耆町","海士町","和気町","海田町","上関町","美波町","多度津町","内子町","北川村","筑紫野市","有田町","東彼杵町","玉東町","日出町","西米良村","奄美市","本部町"
16,江別市,"西目屋村","岩手町","大河原町","三種町","西川町","大玉村","ひたちなか市","茂木町","下仁田町","上尾市","市原市","北区","座間市","佐渡市",,"中能登町","若狭町","南部町","千曲市","飛騨市","裾野市",常滑市,"菰野町","豊郷町","久御山町","河内長野市","川西市","安堵町","美浜町","日南町","西ノ島町","早島町","熊野町","田布施町","海陽町","まんのう町","伊方町","馬路村","春日市","大町町","川棚町","南関町","九重町","木城町","南九州市","恩納村"
17,赤平市,"藤崎町","紫波町","村田町","八峰町","朝日町","鏡石町","鹿嶋市","市貝町","南牧村","草加市","流山市","荒川区","南足柄市","魚沼市",,"穴水町",,"富士川町","東御市","本巣市","湖西市",江南市,"朝日町","甲良町","井手町","松原市","小野市","川西町","日高町","日野町","知夫村","里庄町","坂町","平生町","松茂町",,"松野町","芸西村","大野城市","江北町","波佐見町","長洲町","玖珠町","川南町","伊佐市","宜野座村"
18,紋別市,"大鰐町","矢巾町","柴田町","五城目町","大江町","天栄村","潮来市","芳賀町","甘楽町","越谷市","八千代市","板橋区","綾瀬市","南魚沼市",,"能登町",,"昭和町","安曇野市","郡上市","伊豆市",小牧市,"川越町","多賀町","宇治田原町","大東市","三田市","三宅町","由良町","江府町","隠岐の島町","矢掛町","安芸太田町","阿武町","北島町",,"鬼北町","本山町","宗像市","白石町","小値賀町","和水町",,"都農町","姶良市","金武町"
19,士別市,"田舎館村","西和賀町","川崎町","八郎潟町","大石田町","下郷町","守谷市","壬生町","中之条町","蕨市","我孫子市","練馬区","葉山町","胎内市",,,,"道志村","小海町","下呂市","御前崎市",稲沢市,"多気町",,"笠置町","和泉市","加西市","田原本町","印南町",,,"新庄村","北広島町",,"藍住町",,"愛南町","大豊町","太宰府市","太良町","佐々町","大津町",,"門川町","三島村","伊江村"
20,名寄市,"板柳町","金ケ崎町","丸森町","井川町","金山町","檜枝岐村","常陸大宮市","野木町","長野原町","戸田市","鴨川市","足立区","寒川町","聖籠町",,,,"西桂町","川上村","海津市","菊川市",新城市,"明和町",,"和束町","箕面市","丹波篠山市","曽爾村","みなべ町",,,"鏡野町","大崎上島町",,"板野町",,,"土佐町","古賀市",,"新上五島町","菊陽町",,"諸塚村","十島村","読谷村"
21,三笠市,"鶴田町","平泉町","亘理町","大潟村","最上町","只見町","那珂市","塩谷町","嬬恋村","入間市","鎌ケ谷市","葛飾区","大磯町","弥彦村",,,,"忍野村","南牧村","岐南町","伊豆の国市",東海市,"大台町",,"精華町","柏原市","養父市","御杖村","日高川町",,,"勝央町","世羅町",,"上板町",,,"大川村","福津市",,,"南小国町",,"椎葉村","さつま町","嘉手納町"
22,根室市,"中泊町","住田町","山元町","美郷町","舟形町","南会津町","筑西市","高根沢町","草津町","朝霞市","君津市","江戸川区","二宮町","田上町",,,,"山中湖村","南相木村","笠松町","牧之原市",大府市,"玉城町",,"南山城村","羽曳野市","丹波市","高取町","白浜町",,,"奈義町","神石高原町",,"つるぎ町",,,"いの町","うきは市",,,"小国町",,"美郷町","長島町","北谷町"
23,千歳市,"野辺地町","大槌町","松島町","羽後町","真室川町","北塩原村","坂東市","那須町","高山村","志木市","富津市","八王子市","中井町","阿賀町",,,,"鳴沢村","北相木村","養老町","東伊豆町",知多市,"度会町",,"京丹波町","門真市","南あわじ市","明日香村","上富田町",,,"西粟倉村",,,"東みよし町",,,"仁淀川町","宮若市",,,"産山村",,"高千穂町","湧水町","北中城村"
24,滝川市,"七戸町","山田町","七ヶ浜町","東成瀬村","大蔵村","西会津町","稲敷市","那珂川町","東吾妻町","和光市","浦安市","立川市","大井町","出雲崎町",,,,"富士河口湖町","佐久穂町","垂井町","河津町",知立市,"大紀町",,"伊根町","摂津市","朝来市","上牧町","すさみ町",,,"久米南町",,,,,,"中土佐町","嘉麻市",,,"高森町",,"日之影町","大崎町","中城村"
25,砂川市,"六戸町","岩泉町","利府町",,"鮭川村","磐梯町","かすみがうら市",,"片品村","新座市","四街道市","武蔵野市","松田町","湯沢町",,,,"小菅村","軽井沢町","関ケ原町","南伊豆町",尾張旭市,"南伊勢町",,"与謝野町","高石市","淡路市","王寺町","那智勝浦町",,,"美咲町",,,,,,"佐川町","朝倉市",,,"西原村",,"五ヶ瀬町","東串良町","西原町"
26,歌志内市,"横浜町","田野畑村","大和町",,"戸沢村","猪苗代町","桜川市",,"川場村","桶川市","袖ケ浦市","三鷹市","山北町","津南町",,,,"丹波山村","御代田町","神戸町","松崎町",高浜市,"紀北町",,,"藤井寺市","宍粟市","広陵町","太地町",,,"吉備中央町",,,,,,"越知町","みやま市",,,"南阿蘇村",,,"錦江町","与那原町"
27,深川市,"東北町","普代村","大郷町",,"高畠町","会津坂下町","神栖市",,"昭和村","久喜市","八街市","青梅市","開成町","刈羽村",,,,,"立科町","輪之内町","西伊豆町",岩倉市,"御浜町",,,"東大阪市","加東市","河合町","古座川町",,,,,,,,,"梼原町","糸島市",,,"御船町",,,"南大隅町","南風原町"
28,富良野市,"六ヶ所村","軽米町","大衡村",,"川西町","湯川村","行方市",,"みなかみ町","北本市","印西市","府中市","箱根町","関川村",,,,,"青木村","安八町","函南町",豊明市,"紀宝町",,,"泉南市","たつの市","吉野町","北山村",,,,,,,,,"日高村","那珂川市",,,"嘉島町",,,"肝付町","渡嘉敷村"
29,登別市,"おいらせ町","野田村","色麻町",,"小国町","柳津町","鉾田市",,"玉村町","八潮市","白井市","昭島市","真鶴町","粟島浦村",,,,,"長和町","揖斐川町","清水町",日進市,,,,"四條畷市","猪名川町","大淀町","串本町",,,,,,,,,"津野町","宇美町",,,"益城町",,,"中種子町","座間味村"
30,恵庭市,"大間町","九戸村","加美町",,"白鷹町","三島町","つくばみらい市",,"板倉町","富士見市","富里市","調布市","湯河原町",,,,,,"下諏訪町","大野町","長泉町",田原市,,,,"交野市","多可町","下市町",,,,,,,,,,"四万十町","篠栗町",,,"甲佐町",,,"南種子町","粟国村"
31,伊達市,"東通村","洋野町","涌谷町",,"飯豊町","金山町","小美玉市",,"明和町","三郷市","南房総市","町田市","愛川町",,,,,,"富士見町","池田町","小山町",愛西市,,,,"大阪狭山市","稲美町","黒滝村",,,,,,,,,,"大月町","志免町",,,"山都町",,,"屋久島町","渡名喜村"
32,北広島市,"風間浦村","一戸町","美里町",,"三川町","昭和村","茨城町",,"千代田町","蓮田市","匝瑳市","小金井市","清川村",,,,,,"原村","北方町","吉田町",清須市,,,,"阪南市","播磨町","天川村",,,,,,,,,,"三原村","須恵町",,,"氷川町",,,"大和村","南大東村"
33,石狩市,"佐井村",,"女川町",,"庄内町","会津美里町","大洗町",,"大泉町","坂戸市","香取市","小平市",,,,,,,"辰野町","坂祝町","川根本町",北名古屋市,,,,"島本町","市川町","野迫川村",,,,,,,,,,"黒潮町","新宮町",,,"芦北町",,,"宇検村","北大東村"
34,北斗市,"三戸町",,"南三陸町",,"遊佐町","西郷村","城里町",,"邑楽町","幸手市","山武市","日野市",,,,,,,"箕輪町","富加町","森町",弥富市,,,,"豊能町","福崎町","十津川村",,,,,,,,,,,"久山町",,,"津奈木町",,,"瀬戸内町","伊平屋村"
35,当別町,"五戸町",,,,,"泉崎村","東海村",,,"鶴ヶ島市","いすみ市","東村山市",,,,,,,"飯島町","川辺町",,みよし市,,,,"能勢町","神河町","下北山村",,,,,,,,,,,"粕屋町",,,"錦町",,,"龍郷町","伊是名村"
36,新篠津村,"田子町",,,,,"中島村","大子町",,,"日高市","大網白里市","国分寺市",,,,,,,"南箕輪村","七宗町",,あま市,,,,"忠岡町","太子町","上北山村",,,,,,,,,,,"芦屋町",,,"多良木町",,,"喜界町","久米島町"
37,松前町,"南部町",,,,,"矢吹町","美浦村",,,"吉川市","酒々井町","国立市",,,,,,,"中川村","八百津町",,長久手市,,,,"熊取町","上郡町","川上村",,,,,,,,,,,"水巻町",,,"湯前町",,,"徳之島町","八重瀬町"
38,福島町,"階上町",,,,,"棚倉町","阿見町",,,"ふじみ野市","栄町","福生市",,,,,,,"宮田村","白川町",,東郷町,,,,"田尻町","佐用町","東吉野村",,,,,,,,,,,"岡垣町",,,"水上村",,,"天城町","多良間村"
39,知内町,"新郷村",,,,,"矢祭町","河内町",,,"白岡市","神崎町","狛江市",,,,,,,"松川町","東白川村",,豊山町,,,,"岬町","香美町",,,,,,,,,,,,"遠賀町",,,"相良村",,,"伊仙町","竹富町"
40,木古内町,,,,,,"塙町","八千代町",,,"伊奈町","多古町","東大和市",,,,,,,"高森町","御嵩町",,大口町,,,,"太子町","新温泉町",,,,,,,,,,,,"小竹町",,,"五木村",,,"和泊町","与那国町"
41,七飯町,,,,,,"鮫川村","五霞町",,,"三芳町","東庄町","清瀬市",,,,,,,"阿南町","白川村",,扶桑町,,,,"河南町",,,,,,,,,,,,,"鞍手町",,,"山江村",,,"知名町",
42,鹿部町,,,,,,"石川町","境町",,,"毛呂山町","九十九里町","東久留米市",,,,,,,"阿智村",,,大治町,,,,"千早赤阪村",,,,,,,,,,,,,"桂川町",,,"球磨村",,,"与論町",
43,森町,,,,,,"玉川村","利根町",,,"越生町","芝山町","武蔵村山市",,,,,,,"平谷村",,,蟹江町,,,,,,,,,,,,,,,,,"筑前町",,,"あさぎり町",,,,
44,八雲町,,,,,,"平田村",,,,"滑川町","横芝光町","多摩市",,,,,,,"根羽村",,,飛島村,,,,,,,,,,,,,,,,,"東峰村",,,"苓北町",,,,
45,長万部町,,,,,,"浅川町",,,,"嵐山町","一宮町","稲城市",,,,,,,"下條村",,,阿久比町,,,,,,,,,,,,,,,,,"大刀洗町",,,,,,,
46,江差町,,,,,,"古殿町",,,,"小川町","睦沢町","羽村市",,,,,,,"売木村",,,東浦町,,,,,,,,,,,,,,,,,"大木町",,,,,,,
47,上ノ国町,,,,,,"三春町",,,,"川島町","長生村","あきる野市",,,,,,,"天龍村",,,南知多町,,,,,,,,,,,,,,,,,"広川町",,,,,,,
48,厚沢部町,,,,,,"小野町",,,,"吉見町","白子町","西東京市",,,,,,,"泰阜村",,,美浜町,,,,,,,,,,,,,,,,,"香春町",,,,,,,
49,乙部町,,,,,,"広野町",,,,"鳩山町","長柄町","瑞穂町",,,,,,,"喬木村",,,武豊町,,,,,,,,,,,,,,,,,"添田町",,,,,,,
50,奥尻町,,,,,,"楢葉町",,,,"ときがわ町","長南町","日の出町",,,,,,,"豊丘村",,,幸田町,,,,,,,,,,,,,,,,,"糸田町",,,,,,,
51,今金町,,,,,,"富岡町",,,,"横瀬町","大多喜町","檜原村",,,,,,,"大鹿村",,,設楽町,,,,,,,,,,,,,,,,,"川崎町",,,,,,,
52,せたな町,,,,,,"川内村",,,,"皆野町","御宿町","奥多摩町",,,,,,,"上松町",,,東栄町,,,,,,,,,,,,,,,,,"大任町",,,,,,,
53,島牧村,,,,,,"大熊町",,,,"長瀞町","鋸南町","大島町",,,,,,,"南木曽町",,,豊根村,,,,,,,,,,,,,,,,,"赤村",,,,,,,
54,寿都町,,,,,,"双葉町",,,,"小鹿野町",,"利島村",,,,,,,"木祖村",,,,,,,,,,,,,,,,,,,,"福智町",,,,,,,
55,黒松内町,,,,,,"浪江町",,,,"東秩父村",,"新島村",,,,,,,"王滝村",,,,,,,,,,,,,,,,,,,,"苅田町",,,,,,,
56,蘭越町,,,,,,"葛尾村",,,,"美里町",,"神津島村",,,,,,,"大桑村",,,,,,,,,,,,,,,,,,,,"みやこ町",,,,,,,
57,ニセコ町,,,,,,"新地町",,,,"神川町",,"三宅村",,,,,,,"木曽町",,,,,,,,,,,,,,,,,,,,"吉富町",,,,,,,
58,真狩村,,,,,,"飯舘村",,,,"上里町",,"御蔵島村",,,,,,,"麻績村",,,,,,,,,,,,,,,,,,,,"上毛町",,,,,,,
59,留寿都村,,,,,,,,,,"寄居町",,"八丈町",,,,,,,"生坂村",,,,,,,,,,,,,,,,,,,,"築上町",,,,,,,
60,喜茂別町,,,,,,,,,,"宮代町",,"青ヶ島村",,,,,,,"山形村",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,京極町,,,,,,,,,,"杉戸町",,"小笠原村",,,,,,,"朝日村",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,倶知安町,,,,,,,,,,"松伏町",,,,,,,,,"筑北村",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,共和町,,,,,,,,,,,,,,,,,,,"池田町",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,岩内町,,,,,,,,,,,,,,,,,,,"松川村",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,泊村,,,,,,,,,,,,,,,,,,,"白馬村",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,神恵内村,,,,,,,,,,,,,,,,,,,"小谷村",,,,,,,,,,,,,,,,,,,,,,,,,,,
67,積丹町,,,,,,,,,,,,,,,,,,,"坂城町",,,,,,,,,,,,,,,,,,,,,,,,,,,
68,古平町,,,,,,,,,,,,,,,,,,,"小布施町",,,,,,,,,,,,,,,,,,,,,,,,,,,
69,仁木町,,,,,,,,,,,,,,,,,,,"高山村",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,余市町,,,,,,,,,,,,,,,,,,,"山ノ内町",,,,,,,,,,,,,,,,,,,,,,,,,,,
71,赤井川村,,,,,,,,,,,,,,,,,,,"木島平村",,,,,,,,,,,,,,,,,,,,,,,,,,,
72,南幌町,,,,,,,,,,,,,,,,,,,"野沢温泉村",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,奈井江町,,,,,,,,,,,,,,,,,,,"信濃町",,,,,,,,,,,,,,,,,,,,,,,,,,,
74,上砂川町,,,,,,,,,,,,,,,,,,,"小川村",,,,,,,,,,,,,,,,,,,,,,,,,,,
75,由仁町,,,,,,,,,,,,,,,,,,,"飯綱町",,,,,,,,,,,,,,,,,,,,,,,,,,,
76,長沼町,,,,,,,,,,,,,,,,,,,"栄村",,,,,,,,,,,,,,,,,,,,,,,,,,,
77,栗山町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,月形町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,浦臼町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,新十津川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,妹背牛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,秩父別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,雨竜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,北竜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,沼田町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,鷹栖町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,東神楽町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,当麻町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,比布町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,愛別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,上川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,東川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,美瑛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,上富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,中富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,南富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,占冠村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,和寒町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,剣淵町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,下川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,美深町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,音威子府村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,中川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,幌加内町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,増毛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,小平町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,苫前町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,羽幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,初山別村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,遠別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,天塩町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,猿払村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,浜頓別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,中頓別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,枝幸町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,豊富町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,礼文町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,利尻町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,利尻富士町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,幌延町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,美幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,津別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,斜里町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,清里町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,小清水町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,訓子府町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
